User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Netflix User Age Range
1,Basic,10,15-01-22,10/6/23,United States,28,Male,Smartphone,1 Month,25-34
2,Premium,15,5/9/21,22-06-23,Canada,35,Female,Tablet,1 Month,25-34
3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month,35-44
4,Standard,12,10/7/22,26-06-23,Australia,51,Female,Laptop,1 Month,45+
5,Basic,10,1/5/23,28-06-23,Germany,33,Male,Smartphone,1 Month,25-34
6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month,25-34
7,Standard,12,9/12/21,25-06-23,Brazil,46,Male,Tablet,1 Month,45+
8,Basic,10,2/4/23,24-06-23,Mexico,39,Female,Laptop,1 Month,35-44
9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month,35-44
10,Premium,15,7/1/23,22-06-23,Italy,44,Female,Smart TV,1 Month,35-44
11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month,25-34
12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month,35-44
13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month,45+
14,Basic,10,1/8/22,26-06-23,Australia,27,Male,Smartphone,1 Month,25-34
15,Standard,12,9/5/23,28-06-23,Germany,38,Female,Smart TV,1 Month,35-44
16,Premium,15,7/4/22,27-06-23,France,36,Male,Tablet,1 Month,35-44
17,Basic,10,24-01-22,25-06-23,Brazil,30,Female,Laptop,1 Month,25-34
18,Standard,12,18-10-21,24-06-23,Mexico,43,Male,Smartphone,1 Month,35-44
19,Premium,15,15-02-23,23-06-23,Spain,32,Female,Smart TV,1 Month,25-34
20,Basic,10,27-05-23,22-06-23,Italy,41,Male,Tablet,1 Month,35-44
21,Premium,15,10/6/23,22-06-23,United States,26,Female,Laptop,1 Month,25-34
22,Basic,10,22-07-22,28-06-23,Canada,34,Male,Smartphone,1 Month,25-34
23,Standard,12,5/12/21,27-06-23,United Kingdom,49,Female,Smart TV,1 Month,45+
24,Standard,12,3/4/22,26-06-23,Australia,31,Male,Tablet,1 Month,25-34
25,Basic,10,14-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,35-44
26,Premium,15,12/1/22,27-06-23,France,29,Male,Smartphone,1 Month,25-34
27,Basic,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,45+
28,Standard,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,1 Month,25-34
29,Premium,15,19-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,35-44
30,Basic,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,1 Month,35-44
31,Premium,15,3/2/23,22-06-23,United States,28,Female,Smart TV,1 Month,25-34
32,Basic,10,7/7/22,28-06-23,Canada,37,Male,Tablet,1 Month,35-44
33,Standard,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,35-44
34,Standard,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,1 Month,25-34
35,Basic,10,11/4/23,28-06-23,Germany,39,Female,Smart TV,1 Month,35-44
36,Premium,15,1/3/22,27-06-23,France,35,Male,Tablet,1 Month,25-34
37,Basic,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,1 Month,35-44
38,Standard,12,5/11/21,24-06-23,Mexico,32,Male,Smartphone,1 Month,25-34
39,Premium,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month,25-34
40,Basic,10,7/3/23,22-06-23,Italy,48,Male,Tablet,1 Month,45+
41,Premium,15,20-01-23,22-06-23,United States,31,Female,Laptop,1 Month,25-34
42,Basic,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,1 Month,35-44
43,Standard,12,7/2/22,27-06-23,United Kingdom,36,Female,Smart TV,1 Month,35-44
44,Standard,12,26-04-22,26-06-23,Australia,29,Male,Tablet,1 Month,25-34
45,Basic,10,28-01-23,28-06-23,Germany,43,Female,Laptop,1 Month,35-44
46,Premium,15,23-02-22,27-06-23,France,34,Male,Smartphone,1 Month,25-34
47,Basic,10,5/10/22,25-06-23,Brazil,39,Female,Smart TV,1 Month,35-44
48,Standard,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,1 Month,25-34
49,Premium,15,10/11/22,23-06-23,Spain,28,Female,Laptop,1 Month,25-34
50,Basic,10,2/6/23,22-06-23,Italy,45,Male,Smartphone,1 Month,35-44
51,Premium,15,27-02-23,22-06-23,United States,30,Female,Smart TV,1 Month,25-34
52,Basic,10,29-08-22,28-06-23,Canada,37,Male,Tablet,1 Month,35-44
53,Standard,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,35-44
54,Standard,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,1 Month,25-34
55,Basic,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month,35-44
56,Premium,15,15-03-22,27-06-23,France,36,Male,Tablet,1 Month,35-44
57,Basic,10,1/10/22,25-06-23,Brazil,46,Female,Laptop,1 Month,45+
58,Standard,12,8/10/21,24-06-23,Mexico,34,Male,Smartphone,1 Month,25-34
59,Premium,15,3/12/22,23-06-23,Spain,27,Female,Smart TV,1 Month,25-34
60,Basic,10,14-06-23,22-06-23,Italy,42,Male,Tablet,1 Month,35-44
61,Premium,15,8/2/23,22-06-23,United States,28,Female,Laptop,1 Month,25-34
62,Basic,10,3/8/22,28-06-23,Canada,37,Male,Smartphone,1 Month,35-44
63,Standard,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,1 Month,35-44
64,Standard,12,20-06-22,26-06-23,Australia,29,Male,Tablet,1 Month,25-34
65,Basic,10,29-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,35-44
66,Premium,15,30-01-22,27-06-23,France,29,Male,Smartphone,1 Month,25-34
67,Basic,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,45+
68,Standard,12,9/11/21,24-06-23,Mexico,33,Male,Tablet,1 Month,25-34
69,Premium,15,23-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,35-44
70,Basic,10,8/5/23,22-06-23,Italy,41,Male,Smartphone,1 Month,35-44
71,Basic,10,26-01-22,20-06-23,United States,27,Male,Smartphone,1 Month,25-34
72,Basic,10,11/10/22,22-06-23,Canada,31,Female,Smartphone,1 Month,25-34
73,Standard,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,1 Month,25-34
74,Premium,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,1 Month,35-44
75,Basic,13,28-05-22,26-06-23,Germany,28,Female,Laptop,1 Month,25-34
76,Basic,13,29-12-21,26-06-23,France,51,Female,Laptop,1 Month,45+
77,Premium,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,1 Month,35-44
78,Standard,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,1 Month,45+
79,Standard,15,3/12/22,25-06-23,Spain,43,Female,Laptop,1 Month,35-44
80,Basic,12,8/11/22,22-06-23,Italy,43,Male,Tablet,1 Month,35-44
81,Premium,10,11/1/23,24-06-23,United States,37,Male,Tablet,1 Month,35-44
82,Standard,12,7/12/22,28-06-23,Canada,35,Male,Laptop,1 Month,25-34
83,Basic,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,1 Month,45+
84,Standard,12,13-04-23,25-06-23,Australia,32,Male,Smartphone,1 Month,25-34
85,Premium,10,6/4/23,27-06-23,Germany,37,Female,Laptop,1 Month,35-44
86,Basic,11,4/3/22,25-06-23,France,29,Female,Smartphone,1 Month,25-34
87,Premium,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV,1 Month,35-44
88,Standard,12,27-09-22,28-06-23,Mexico,47,Male,Tablet,1 Month,45+
89,Basic,15,20-10-22,26-06-23,Spain,39,Male,Smartphone,1 Month,35-44
90,Standard,13,3/2/23,23-06-23,Italy,49,Female,Smartphone,1 Month,45+
91,Premium,11,3/10/22,23-06-23,United States,39,Male,Tablet,1 Month,35-44
92,Basic,14,5/1/22,28-06-23,Canada,39,Male,Smart TV,1 Month,35-44
93,Standard,12,5/2/22,26-06-23,United Kingdom,35,Male,Smartphone,1 Month,25-34
94,Premium,12,19-03-22,25-06-23,Australia,44,Male,Smartphone,1 Month,35-44
95,Basic,11,28-02-22,25-06-23,Germany,34,Male,Laptop,1 Month,25-34
96,Premium,14,26-07-22,24-06-23,France,32,Male,Laptop,1 Month,25-34
97,Basic,10,5/3/22,24-06-23,Brazil,29,Female,Tablet,1 Month,25-34
98,Standard,13,7/3/22,28-06-23,Mexico,31,Female,Tablet,1 Month,25-34
99,Standard,12,13-01-23,24-06-23,Spain,29,Female,Tablet,1 Month,25-34
100,Basic,12,22-01-23,25-06-23,Italy,35,Male,Laptop,1 Month,25-34
101,Premium,11,17-10-22,24-06-23,United States,46,Female,Tablet,1 Month,45+
102,Basic,12,29-03-22,28-06-23,Canada,31,Male,Tablet,1 Month,25-34
103,Standard,13,4/4/22,26-06-23,United Kingdom,36,Male,Laptop,1 Month,35-44
104,Premium,10,8/6/22,25-06-23,Australia,38,Male,Laptop,1 Month,35-44
105,Basic,11,4/3/22,27-06-23,Germany,46,Female,Laptop,1 Month,45+
106,Premium,10,18-03-22,24-06-23,France,49,Female,Tablet,1 Month,45+
107,Basic,14,7/3/22,24-06-23,Brazil,29,Female,Smart TV,1 Month,25-34
108,Standard,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV,1 Month,25-34
109,Standard,13,8/2/23,25-06-23,Spain,35,Female,Tablet,1 Month,25-34
110,Basic,13,26-01-23,24-06-23,Italy,37,Female,Laptop,1 Month,35-44
111,Premium,14,14-07-22,27-06-23,United States,40,Male,Tablet,1 Month,35-44
112,Basic,10,1/6/22,28-06-23,Canada,33,Female,Laptop,1 Month,25-34
113,Standard,15,7/5/22,26-06-23,United Kingdom,37,Male,Tablet,1 Month,35-44
114,Premium,10,18-11-22,25-06-23,Australia,48,Male,Smartphone,1 Month,45+
115,Basic,11,5/4/22,25-06-23,Germany,50,Female,Laptop,1 Month,45+
116,Premium,14,19-05-22,23-06-23,France,45,Female,Smart TV,1 Month,35-44
117,Basic,15,30-10-21,23-06-23,Brazil,40,Female,Tablet,1 Month,35-44
118,Standard,12,7/8/22,27-06-23,Mexico,33,Male,Smartphone,1 Month,25-34
119,Standard,11,20-09-22,25-06-23,Spain,44,Female,Smartphone,1 Month,35-44
120,Basic,10,18-10-22,25-06-23,Italy,30,Female,Smart TV,1 Month,25-34
121,Premium,15,3/10/22,24-06-23,United States,27,Male,Smart TV,1 Month,25-34
122,Basic,11,3/5/22,28-06-23,Canada,51,Male,Smart TV,1 Month,45+
123,Standard,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,1 Month,45+
124,Premium,15,5/11/22,25-06-23,Australia,43,Male,Laptop,1 Month,35-44
125,Basic,12,21-08-22,24-06-23,Germany,42,Male,Smartphone,1 Month,35-44
126,Premium,13,21-09-22,23-06-23,France,45,Male,Laptop,1 Month,35-44
127,Basic,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone,1 Month,35-44
128,Standard,12,6/10/22,27-06-23,Mexico,48,Male,Smartphone,1 Month,45+
129,Standard,13,5/11/22,23-06-23,Spain,38,Male,Smart TV,1 Month,35-44
130,Basic,14,7/1/23,23-06-23,Italy,43,Female,Tablet,1 Month,35-44
131,Premium,15,6/10/22,23-06-23,United States,47,Male,Laptop,1 Month,45+
132,Basic,15,24-06-22,28-06-23,Canada,48,Female,Smart TV,1 Month,45+
133,Standard,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,1 Month,45+
134,Premium,15,5/11/22,25-06-23,Australia,32,Male,Tablet,1 Month,25-34
135,Basic,13,18-07-22,26-06-23,Germany,47,Female,Smart TV,1 Month,45+
136,Premium,12,13-09-22,26-06-23,France,41,Female,Smart TV,1 Month,35-44
137,Basic,12,10/8/22,22-06-23,Brazil,49,Male,Laptop,1 Month,45+
138,Standard,15,21-09-22,23-06-23,Mexico,28,Male,Laptop,1 Month,25-34
139,Standard,13,24-03-23,23-06-23,Spain,40,Male,Smartphone,1 Month,35-44
140,Basic,12,2/5/22,23-06-23,Italy,43,Female,Smartphone,1 Month,35-44
141,Premium,12,11/5/22,27-06-23,United States,42,Male,Smartphone,1 Month,35-44
142,Basic,14,10/6/22,22-06-23,Canada,28,Male,Smart TV,1 Month,25-34
143,Standard,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,1 Month,25-34
144,Premium,10,17-08-22,26-06-23,Australia,33,Male,Smart TV,1 Month,25-34
145,Basic,11,5/5/22,26-06-23,Germany,35,Female,Laptop,1 Month,25-34
146,Basic,10,6/10/22,25-06-23,France,38,Male,Tablet,1 Month,35-44
147,Basic,12,8/11/22,24-06-23,Brazil,49,Female,Laptop,1 Month,45+
148,Standard,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone,1 Month,35-44
149,Premium,13,17-11-22,27-06-23,Spain,46,Female,Smart TV,1 Month,45+
150,Basic,10,15-12-22,23-06-23,Italy,47,Female,Laptop,1 Month,45+
151,Basic,15,12/12/22,25-06-23,United States,30,Female,Laptop,1 Month,25-34
152,Premium,14,23-11-22,27-06-23,Canada,33,Female,Tablet,1 Month,25-34
153,Standard,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,1 Month,45+
154,Standard,11,11/3/23,27-06-23,Australia,27,Male,Laptop,1 Month,25-34
155,Basic,14,18-11-22,27-06-23,Germany,28,Male,Tablet,1 Month,25-34
156,Premium,15,19-08-22,25-06-23,France,47,Male,Smartphone,1 Month,45+
157,Standard,14,27-09-22,24-06-23,Brazil,30,Male,Laptop,1 Month,25-34
158,Basic,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone,1 Month,45+
