Country,Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Aruba,ABW,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,,,
Africa Eastern and Southern,AFE,1634.448253,1770.73623,1736.16656,1713.899299,1703.596298,1549.03794,1431.778723,1573.063386,1574.978648,1530.059177,1359.618224,
Afghanistan,AFG,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708,
Africa Western and Central,AFW,1687.551979,1862.308267,1965.118485,2157.481149,2212.853135,1894.310195,1673.835527,1613.473553,1704.139603,1777.918672,1710.073363,
Angola,AGO,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1776.166868,
Albania,ALB,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5395.659532,5246.292306,
Andorra,AND,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,,
Arab World,ARB,6512.541558,6888.979416,7378.23189,7373.201678,7300.030219,6220.716636,5969.616593,5987.341957,6504.148493,6489.043216,5612.68657,
United Arab Emirates,ARE,33893.26387,39194.67224,40976.49075,42412.6395,43751.80565,38663.4005,38141.86713,40644.79119,43839.32449,42701.44305,36284.55524,
Argentina,ARG,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,10056.63794,8579.017773,
Armenia,ARM,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4604.646324,4266.018074,
American Samoa,ASM,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11521.60978,11715.36014,12844.90099,
Antigua and Barbuda,ATG,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16679.59166,17376.64968,13992.74448,
Australia,AUS,52087.97229,62574.1457,68027.84171,68156.62792,62511.69059,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596,51692.84275,
Austria,AUT,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47312.00623,51461.43322,50114.40111,48586.80132,
Azerbaijan,AZE,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4221.407478,
Burundi,BDI,234.2355389,249.5779794,252.3588707,256.9756526,274.8578362,305.5496525,260.5652208,253.8263541,238.783467,228.2135892,238.9907259,
Belgium,BEL,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44089.31009,47519.5531,46591.49161,45159.34822,
Benin,BEN,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,1291.040972,
Burkina Faso,BFA,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297,
Bangladesh,BGD,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081,1855.740094,1961.613749,
Bulgaria,BGR,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338,
Bahrain,BHR,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24085.95599,23551.93009,20409.9528,
"Bahamas, The",BHS,28443.88848,28005.9124,29485.86422,28583.0233,30065.1602,31776.05559,31732.91914,32376.50917,33290.02814,33799.41769,25194.02514,
Bosnia and Herzegovina,BIH,4635.510195,5092.554723,4777.066914,5129.663534,5330.355075,4729.689959,4994.971551,5394.268944,6070.349081,6119.762345,6079.738285,
